Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
1.697999954,-1.21,-1.517,0.494,-2.948
-3.018000126,-1.385,-1.678,0.016,-2.94
-3.032000065,-2.9,-1.816,-1.535,-5.594
-3.200000048,-2.804,-2.128,-1.844,-5.354
-2.657999992,-3.08,-2.114,-2.078,-5.612
-2.915999889,-2.484,-2.189,-0.816,-5.607
-3.085000038,-2.51,-2.299,-1.449,-5.279
-2.27699995,-2.038,-2.297,-1.393,-5.354
-1.968000054,-2.023,-1.935,-1.171,-5.014
-2.315000057,-1.837,-1.502,-1.117,-4.643
-2.448999882,-1.43,-0.476,-1.344,-4.651
-2.220999956,-1.54,-0.622,-1.685,-4.63
-2.669000149,-1.708,-0.286,-1.469,-4.591
-2.463999987,-1.86,-0.439,-1.526,-4.262
-2.787000179,-1.831,-0.073,-1.914,-4.319
-2.684000015,-1.907,-0.205,-1.883,-4.396
-0.768000007,-1.961,-0.031,-1.883,-4.44
-2.921000004,-1.853,-0.449,-1.65,-4.392
-3.188999891,-1.865,-0.806,-1.4,-4.038
-3.137000084,-1.91,-0.464,-1.263,-3.737
-3.429999828,-1.559,-0.876,-0.852,-3.607
-2.504999876,-1.028,-0.404,-0.67,-3.422
-2.509000063,-1.028,-0.345,-0.332,-3.34
-3.006999969,-0.235,-0.07,-0.338,-3.342
-2.549999952,-0.226,-0.476,-0.284,-2.529
-1.292999983,-0.092,-0.544,-0.223,-2.636
-0.155999988,0.361,-0.497,0.303,-1.648
-0.14199999,0.571,-0.357,0.465,-1.557
-0.155999988,0.71,-0.429,0.482,-1.367
-0.096000001,0.45,-0.909,0.577,-1.175
1.14199996,-0.515,-1.118,0.287,-2.35
1.784000039,0.367,-0.8,1.569,-1.886
0.771999955,0.664,-0.643,1.422,-1.666
1.059000015,0.475,-0.642,1.278,-1.172
1.32099998,-0.11,-0.703,1.283,-1.193
1.649999976,0.436,-0.972,1.811,-1.2
1.730999947,-0.747,-1.109,1.337,-1.534
0.726999998,-1.101,-1.151,0.766,-2.089
1.318000078,-0.862,-1.43,1.046,-2.564
-2.617000103,-3.026,-1.584,0.156,-2.624
0.089000002,-2.984,-2.14,-1.92,-5.381
0.469000012,-3.225,-2.01,-1.341,-5.642
